dataid,local_15min,house_type,ev_car,solar,grid,total_power_consumption,total_usage
1642,2018-01-01 00:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.431,0.426,0.011
1642,2018-01-01 00:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.605,0.6,0.011
1642,2018-01-01 00:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.003,0.884,0.881,0.011
1642,2018-01-01 00:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.441,0.436,0.011
1642,2018-01-01 01:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.399,0.395,0.01
1642,2018-01-01 01:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.38,0.376,0.01
1642,2018-01-01 01:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.496,0.491,0.011
1642,2018-01-01 01:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.493,0.488,0.011
1642,2018-01-01 02:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.377,0.373,0.01
1642,2018-01-01 02:15:00-06:00,Single-Family Home 001 (Master),0.002,-0.004,0.375,0.371,0.012
1642,2018-01-01 02:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.587,0.582,0.013000000000000001
1642,2018-01-01 02:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.593,0.589,0.012
1642,2018-01-01 03:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.571,0.567,0.012
1642,2018-01-01 03:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.491,0.487,0.012
1642,2018-01-01 03:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.549,0.545,0.012
1642,2018-01-01 03:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.496,0.492,0.012
1642,2018-01-01 04:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.004,0.554,0.55,0.012
1642,2018-01-01 04:15:00-06:00,Single-Family Home 001 (Master),0.002,-0.005,0.46,0.455,0.012
1642,2018-01-01 04:30:00-06:00,Single-Family Home 001 (Master),0.002,-0.005,0.332,0.327,0.012
1642,2018-01-01 04:45:00-06:00,Single-Family Home 001 (Master),0.002,-0.005,0.346,0.34099999999999997,0.012
1642,2018-01-01 05:00:00-06:00,Single-Family Home 001 (Master),0.002,-0.005,0.325,0.32,0.012
1642,2018-01-01 05:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.431,0.426,0.011
1642,2018-01-01 05:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.461,0.456,0.011
1642,2018-01-01 05:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.005,0.676,0.671,0.012
1642,2018-01-01 06:00:00-06:00,Single-Family Home 001 (Master),0.0,-0.004,1.005,1.001,0.011
1642,2018-01-01 06:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.003,0.807,0.804,0.011
1642,2018-01-01 06:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.003,0.987,0.984,0.011
1642,2018-01-01 06:45:00-06:00,Single-Family Home 001 (Master),0.002,-0.002,0.953,0.951,0.013000000000000001
1642,2018-01-01 07:00:00-06:00,Single-Family Home 001 (Master),0.0,-0.004,0.492,0.488,0.009000000000000001
1642,2018-01-01 07:15:00-06:00,Single-Family Home 001 (Master),0.002,-0.002,0.839,0.837,0.013000000000000001
1642,2018-01-01 07:30:00-06:00,Single-Family Home 001 (Master),0.002,-0.005,0.816,0.8109999999999999,0.013000000000000001
1642,2018-01-01 07:45:00-06:00,Single-Family Home 001 (Master),0.002,0.01,0.82,0.83,0.013000000000000001
1642,2018-01-01 08:00:00-06:00,Single-Family Home 001 (Master),0.002,0.101,0.744,0.845,0.013000000000000001
1642,2018-01-01 08:15:00-06:00,Single-Family Home 001 (Master),0.001,0.154,0.394,0.548,0.01
1642,2018-01-01 08:30:00-06:00,Single-Family Home 001 (Master),0.003,0.408,-0.126,0.282,0.013000000000000001
1642,2018-01-01 08:45:00-06:00,Single-Family Home 001 (Master),0.003,0.571,-0.342,0.22899999999999993,0.015
1642,2018-01-01 09:00:00-06:00,Single-Family Home 001 (Master),0.001,1.071,1.333,2.404,2.108
1642,2018-01-01 09:15:00-06:00,Single-Family Home 001 (Master),0.056,0.919,0.504,1.423,1.097
1642,2018-01-01 09:30:00-06:00,Single-Family Home 001 (Master),0.097,1.201,0.393,1.594,1.24
1642,2018-01-01 09:45:00-06:00,Single-Family Home 001 (Master),0.053,1.287,-0.909,0.3779999999999999,0.128
1642,2018-01-01 10:00:00-06:00,Single-Family Home 001 (Master),0.003,1.129,-0.695,0.43400000000000005,0.044
1642,2018-01-01 10:15:00-06:00,Single-Family Home 001 (Master),0.004,1.29,-0.901,0.389,0.017
1642,2018-01-01 10:30:00-06:00,Single-Family Home 001 (Master),0.004,1.429,-0.993,0.43600000000000005,0.014
1642,2018-01-01 10:45:00-06:00,Single-Family Home 001 (Master),0.005,1.72,-1.3,0.41999999999999993,0.015
1642,2018-01-01 11:00:00-06:00,Single-Family Home 001 (Master),2.092,1.893,0.866,2.759,2.102
1642,2018-01-01 11:15:00-06:00,Single-Family Home 001 (Master),3.385,1.66,3.651,5.311,3.396
1642,2018-01-01 11:30:00-06:00,Single-Family Home 001 (Master),2.058,1.799,1.339,3.138,2.0689999999999995
1642,2018-01-01 11:45:00-06:00,Single-Family Home 001 (Master),0.003,1.707,-0.539,1.1680000000000001,0.014
1642,2018-01-01 12:00:00-06:00,Single-Family Home 001 (Master),0.002,1.75,0.916,2.666,0.014
1642,2018-01-01 12:15:00-06:00,Single-Family Home 001 (Master),0.001,1.767,0.143,1.91,0.013000000000000001
1642,2018-01-01 12:30:00-06:00,Single-Family Home 001 (Master),0.786,1.674,0.38,2.054,0.798
